parroquia,canton,cultivo,ssp,horizonte,aptitud_rf,superficie_ha,deficit_mm,dias_estres,cdd_max,estado_peligro_deficit,estado_peligro_termico,estado_peligro_sequia,estado_exposicion,estado_vulnerabilidad,prob_riesgo_bajo,prob_riesgo_medio,prob_riesgo_alto,indice_riesgo
LITA,IBARRA,maiz,ssp126,2021-2040,0.5207,1221.0000,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
SALINAS,IBARRA,maiz,ssp126,2021-2040,0.7206,45.4700,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN ANTONIO,IBARRA,maiz,ssp126,2021-2040,0.7418,132.4300,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
ATUNTAQUI,ANTONIO ANTE,maiz,ssp126,2021-2040,0.7588,75.4900,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
IMBAYA,ANTONIO ANTE,maiz,ssp126,2021-2040,0.7418,57.6900,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN FRANCISCO DE NATABUELA,ANTONIO ANTE,maiz,ssp126,2021-2040,0.7418,38.2400,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN JOSE DE CHALTURA,ANTONIO ANTE,maiz,ssp126,2021-2040,0.7418,25.0600,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN ROQUE,ANTONIO ANTE,maiz,ssp126,2021-2040,0.7362,88.5400,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
COTACACHI,COTACACHI,maiz,ssp126,2021-2040,0.7588,255.3300,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
APUELA,COTACACHI,maiz,ssp126,2021-2040,0.7964,164.1200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
GARCIA MORENO,COTACACHI,maiz,ssp126,2021-2040,0.5205,266.2100,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
IMANTAG,COTACACHI,maiz,ssp126,2021-2040,0.7546,208.5200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
PENAHERRERA,COTACACHI,maiz,ssp126,2021-2040,0.7469,163.4700,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
PLAZA GUTIERREZ,COTACACHI,maiz,ssp126,2021-2040,0.7886,89.9900,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
QUIROGA,COTACACHI,maiz,ssp126,2021-2040,0.7678,89.9200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SEIS DE JULIO DE CUELLAJE,COTACACHI,maiz,ssp126,2021-2040,0.7299,310.9500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
VACAS GALINDO,COTACACHI,maiz,ssp126,2021-2040,0.7469,109.2500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
OTAVALO,OTAVALO,maiz,ssp126,2021-2040,0.7362,325.6100,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
DR. MIGUEL EGAS CABEZAS,OTAVALO,maiz,ssp126,2021-2040,0.7362,76.4100,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
EUGENIO ESPEJO,OTAVALO,maiz,ssp126,2021-2040,0.7270,130.1500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
GONZALEZ SUAREZ,OTAVALO,maiz,ssp126,2021-2040,0.7027,136.4600,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
PATAQUI,OTAVALO,maiz,ssp126,2021-2040,0.7199,31.2300,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN JOSE DE QUICHINCHE,OTAVALO,maiz,ssp126,2021-2040,0.7770,134.2300,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN JUAN DE ILUMAN,OTAVALO,maiz,ssp126,2021-2040,0.7362,99.1500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN PABLO,OTAVALO,maiz,ssp126,2021-2040,0.7554,460.8500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
SAN RAFAEL,OTAVALO,maiz,ssp126,2021-2040,0.7270,183.0800,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
SELVA ALEGRE,OTAVALO,maiz,ssp126,2021-2040,0.7152,76.8600,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
PIMAMPIRO,PIMAMPIRO,maiz,ssp126,2021-2040,0.7352,65.1200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
CHUGA,PIMAMPIRO,maiz,ssp126,2021-2040,0.6652,3.0200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
MARIANO ACOSTA,PIMAMPIRO,maiz,ssp126,2021-2040,0.7052,80.5200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN FRANCISCO DE SIGSIPAMBA,PIMAMPIRO,maiz,ssp126,2021-2040,0.6827,0.0500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
URCUQUI,SAN MIGUEL DE URCUQUI,maiz,ssp126,2021-2040,0.7200,146.1900,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
CAHUASQUI,SAN MIGUEL DE URCUQUI,maiz,ssp126,2021-2040,0.7813,2.1700,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
LA MERCED DE BUENOS AIRES,SAN MIGUEL DE URCUQUI,maiz,ssp126,2021-2040,0.6620,945.6000,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
PABLO ARENAS,SAN MIGUEL DE URCUQUI,maiz,ssp126,2021-2040,0.7420,81.8000,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN BLAS,SAN MIGUEL DE URCUQUI,maiz,ssp126,2021-2040,0.7420,47.3600,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
TUMBABIRO,SAN MIGUEL DE URCUQUI,maiz,ssp126,2021-2040,0.7420,91.4200,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN MIGUEL DE IBARRA,IBARRA,frejol,ssp126,2021-2040,0.8465,199.1900,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
AMBUQUI,IBARRA,frejol,ssp126,2021-2040,0.8577,75.1200,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
ANGOCHAGUA,IBARRA,frejol,ssp126,2021-2040,0.7967,23.7600,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
LA CAROLINA,IBARRA,frejol,ssp126,2021-2040,0.5615,31.0200,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
LA ESPERANZA,IBARRA,frejol,ssp126,2021-2040,0.8230,28.0000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
LITA,IBARRA,frejol,ssp126,2021-2040,0.5681,8.8500,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SALINAS,IBARRA,frejol,ssp126,2021-2040,0.8530,157.5300,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
SAN ANTONIO,IBARRA,frejol,ssp126,2021-2040,0.8450,57.4200,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
ATUNTAQUI,ANTONIO ANTE,frejol,ssp126,2021-2040,0.8496,40.8100,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
IMBAYA,ANTONIO ANTE,frejol,ssp126,2021-2040,0.8450,8.5000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN FRANCISCO DE NATABUELA,ANTONIO ANTE,frejol,ssp126,2021-2040,0.8450,21.5400,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN JOSE DE CHALTURA,ANTONIO ANTE,frejol,ssp126,2021-2040,0.8450,2.1000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN ROQUE,ANTONIO ANTE,frejol,ssp126,2021-2040,0.8483,57.1000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
COTACACHI,COTACACHI,frejol,ssp126,2021-2040,0.8496,181.0400,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
APUELA,COTACACHI,frejol,ssp126,2021-2040,0.7828,119.9800,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
GARCIA MORENO,COTACACHI,frejol,ssp126,2021-2040,0.6214,152.0300,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
IMANTAG,COTACACHI,frejol,ssp126,2021-2040,0.8299,10.3400,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
PENAHERRERA,COTACACHI,frejol,ssp126,2021-2040,0.7596,123.0400,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
PLAZA GUTIERREZ,COTACACHI,frejol,ssp126,2021-2040,0.8212,94.8400,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
QUIROGA,COTACACHI,frejol,ssp126,2021-2040,0.8608,64.0500,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SEIS DE JULIO DE CUELLAJE,COTACACHI,frejol,ssp126,2021-2040,0.7256,68.3200,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
VACAS GALINDO,COTACACHI,frejol,ssp126,2021-2040,0.7596,83.3800,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
OTAVALO,OTAVALO,frejol,ssp126,2021-2040,0.8483,42.4100,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
DR. MIGUEL EGAS CABEZAS,OTAVALO,frejol,ssp126,2021-2040,0.8483,21.7700,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
EUGENIO ESPEJO,OTAVALO,frejol,ssp126,2021-2040,0.8332,0.4100,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
GONZALEZ SUAREZ,OTAVALO,frejol,ssp126,2021-2040,0.8074,0.1100,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
PATAQUI,OTAVALO,frejol,ssp126,2021-2040,0.8674,0.2900,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN JOSE DE QUICHINCHE,OTAVALO,frejol,ssp126,2021-2040,0.8488,286.5000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
SAN JUAN DE ILUMAN,OTAVALO,frejol,ssp126,2021-2040,0.8483,64.7900,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
SAN PABLO,OTAVALO,frejol,ssp126,2021-2040,0.8230,1.4600,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SAN RAFAEL,OTAVALO,frejol,ssp126,2021-2040,0.8332,0.0500,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
SELVA ALEGRE,OTAVALO,frejol,ssp126,2021-2040,0.7554,119.8000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
PIMAMPIRO,PIMAMPIRO,frejol,ssp126,2021-2040,0.8359,73.0100,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
CHUGA,PIMAMPIRO,frejol,ssp126,2021-2040,0.5840,4.4600,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
MARIANO ACOSTA,PIMAMPIRO,frejol,ssp126,2021-2040,0.7546,15.7200,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN FRANCISCO DE SIGSIPAMBA,PIMAMPIRO,frejol,ssp126,2021-2040,0.6567,0.0700,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
URCUQUI,SAN MIGUEL DE URCUQUI,frejol,ssp126,2021-2040,0.8623,27.2200,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
CAHUASQUI,SAN MIGUEL DE URCUQUI,frejol,ssp126,2021-2040,0.8540,0.6000,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
LA MERCED DE BUENOS AIRES,SAN MIGUEL DE URCUQUI,frejol,ssp126,2021-2040,0.5973,4.0500,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
PABLO ARENAS,SAN MIGUEL DE URCUQUI,frejol,ssp126,2021-2040,0.8418,22.8700,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN BLAS,SAN MIGUEL DE URCUQUI,frejol,ssp126,2021-2040,0.8418,5.6700,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
TUMBABIRO,SAN MIGUEL DE URCUQUI,frejol,ssp126,2021-2040,0.8418,17.6900,-41.5599,0.1100,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
SAN MIGUEL DE IBARRA,IBARRA,quinua,ssp126,2021-2040,0.7229,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
AMBUQUI,IBARRA,quinua,ssp126,2021-2040,0.6999,0.4372,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
